Artist,Track,Peak Position,Year,Peak Date
Glenn Yarbrough,Baby the Rain Must Fall,12,1965,5/22/65
Eddie Rambeau,Concrete and Clay,35,1965,6/5/65
Unit 4 + 2,Concrete and Clay,28,1965,6/12/65
The Marvelows,I Do,37,1965,7/3/65
Horst Jankowski,A Walk in the Black Forest,12,1965,7/10/65
Fred Hughes,"Oo Wee Baby, I Love You",23,1965,7/10/65
Ian Whitcomb and Bluesville,You Turn Me On (Turn On Song),8,1965,7/17/65
Barry McGuire,Eve of Destruction,1,1965,9/25/65
The Spokesmen,The Dawn of Correction,36,1965,10/16/65
The Castaways,"Liar, Liar",12,1965,10/23/65
The Gentrys,Keep on Dancing,4,1965,10/30/65
San Remo Golden Strings,Hungry for Love,27,1965,10/30/65
Jonathan King,Everyone's Gone to the Moon,17,1965,11/6/65
The Silkie,You've Got to Hide Your Love Away,10,1965,11/27/65
Little Jimmy Dickens,May the Bird of Paradise Fly Up Your Nose,15,1965,12/4/65
Barry Young,One Has My Name (The Other Has My Heart),13,1966,1/1/66
The Viscounts,Harlem Nocturne,39,1966,1/1/66
The Statler Brothers,Flowers on the Wall,4,1966,1/8/66
Jackie Lee,The Duck,14,1966,1/22/66
The Knickerbockers,Lies,20,1966,1/22/66
The T-Bones,No Matter What Shape (Your Stomach's In),3,1966,2/5/66
Mike Douglas,The Men in My Little Girl's Life,6,1966,2/5/66
David and Jonathan,Michelle,18,1966,2/12/66
Bob Lind,Elusive Butterfly,5,1966,3/12/66
Bob Kuban and the In-Men,The Cheater,12,1966,3/12/66
Neal Hefti,Batman Theme,35,1966,3/12/66
Deon Jackson,Love Makes the World Go Round,11,1966,3/19/66
Norma Tanega,Walkin' My Cat Named Dog,22,1966,4/9/66
Brian Wilson,"Caroline, No",32,1966,4/30/66
Just Us,I Can't Grow Peaches on a Cherry Tree,34,1966,5/14/66
Buddy Starcher,History Repeats Itself,39,1966,5/14/66
Frank Gallop,The Ballad of Irving,34,1966,5/28/66
Robert Parker,Barefootin',7,1966,6/18/66
The Shades of Blue,Oh How Happy,12,1966,6/25/66
The Capitols,Cool Jerk,7,1966,7/2/66
The Swingin' Medallions,Doubleshot (Of My Baby's Love),17,1966,7/2/66
Johnny Sea,Day of Decision,35,1966,7/2/66
Syndicate of Sound,Little Girl,8,1966,7/9/66
The Standells,Dirty Water,11,1966,7/9/66
The Leaves,Hey Joe,31,1966,7/9/66
Napoleon XIV,"They're Coming to Take Me Away, Ha-Haaa!",3,1966,8/13/66
Ray Conniff,"Somewhere, My Love",9,1966,8/13/66
Bobby Moore & the Rhythm Aces,Searching for My Love,27,1966,8/13/66
Tommy McLain,Sweet Dreams,15,1966,8/20/66
Verdelle Smith,Tar and Cement,38,1966,8/20/66
Love,7 and 7 Is,33,1966,9/24/66
Los Bravos,Black Is Black,4,1966,10/1/66
David Houston,Almost Persuaded,24,1966,10/1/66
Darrell Banks,Open the Door to Your Heart,27,1966,10/1/66
Count Five,Psychotic Reaction,5,1966,10/15/66
Walter Wanderley,Summer Samba (So Nice),26,1966,10/15/66
The New Vaudeville Band,Winchester Cathedral,1,1966,12/3/66
Chicago Loop,(When She Needs Good Lovin') She Comes to Me,37,1966,12/3/66
J.J. Jackson,But It's Alright,22,1966,12/10/66
The Music Machine,Talk Talk,15,1967,1/14/67
Senator Everett McKinley Dirksen,Gallant Men,29,1967,1/21/67
Senator Bobby,Wild Thing,20,1967,2/4/67
Blues Magoos,(We Ain't Got) Nothin' Yet,5,1967,2/11/67
Spyder Turner,Stand By Me,12,1967,2/11/67
Bob Crewe Generation,Music to Watch Girls By,15,1967,2/11/67
Sopwith Camel,Hello Hello,26,1967,2/11/67
Cannonball Adderley,"Mercy, Mercy, Mercy",11,1967,2/25/67
The Seeds,Pushin' Too Hard,36,1967,2/25/67
Kim Weston,It Takes Two,14,1967,3/4/67
The Casinos,Then You Can Tell Me Goodbye,6,1967,3/11/67
P.J. Proby,Niki Hoeky,25,1967,3/11/67
The Mojo Men,"Sit Down, I Think I Love You",36,1967,3/18/67
Buffalo Springfield,For What It's Worth,7,1967,3/25/67
The Easybeats,Friday on My Mind,16,1967,5/20/67
The Yellow Balloon,Yellow Balloon,25,1967,5/20/67
Parade,Sunshine Girl,20,1967,5/27/67
Jerry Jaye,My Girl Josephine,29,1967,5/27/67
Whistling Jack Smith,I Was Kaiser Bill's Batman,20,1967,6/3/67
Jon and Robin and the In-Crowd,Do It Again a Little Bit Slower,18,1967,6/24/67
The Fifth Estate,Ding-Dong! The Witch Is Dead,11,1967,7/1/67
The Music Explosion,Little Bit O' Soul,2,1967,7/8/67
Every Mother's Son,Come on Down to My Boat,6,1967,7/8/67
"Oscar Toney, Jr.",For Your Precious Love,23,1967,7/8/67
Bunny Sigler,Let the Good Times Roll and Feels So Good,22,1967,8/19/67
Chris Bartley,The Sweetest Thing This Side of Heaven,32,1967,8/19/67
Linda Jones ,Hypnotized,21,1967,8/26/67
The Parliaments,(I Wanna) Testify,20,1967,9/9/67
Davie Allan and the Arrows,Blue's Theme,37,1967,9/23/67
Bill Cosby,Little Ole Man (Uptight–Everything's Alright),4,1967,10/14/67
The Hombres,Let It Out (Let It All Hang Out),12,1967,11/18/67
Robert Knight,Everlasting Love,13,1967,11/18/67
Miriam Makeba,Pata Pata,12,1967,11/25/67
Sunshine Company,Back on the Street Again,36,1967,11/25/67
Victor Lundberg,An Open Letter to My Teenage Son,10,1967,12/2/67
Kenny O'Dell,Beautiful People,38,1967,12/16/67
The Rose Garden,Next Plane to London,17,1967,12/30/67
John Fred and His Playboy Band,Judy in Disguise (With Glasses),1,1968,1/20/68
The Sandpebbles,Love Power,22,1968,1/27/68
The Lemon Pipers,Green Tambourine,1,1968,2/3/68
The Human Beinz,Nobody but Me,8,1968,2/3/68
Paul Mauriat and His Orchestra,Love Is Blue[115],1,1968,2/10/68
Henson Cargill,Skip a Rope,25,1968,2/10/68
The Hesitations,Born Free,38,1968,2/17/68
Madeline Bell,I'm Gonna Make You Love Me,26,1968,3/23/68
The Balloon Farm,A Question of Temperature,37,1968,3/23/68
Gene and Debbe,Playboy,17,1968,4/13/68
The Sweet Inspirations,Sweet Inspiration,18,1968,4/27/68
Blue Cheer,Summertime Blues,14,1968,5/4/68
Bobby Taylor & the Vancouvers,Does Your Mama Know About Me,29,1968,5/25/68
Hugo Montenegro,"The Good, The Bad and the Ugly",2,1968,6/1/68
Four Jacks and a Jill,Master Jack,18,1968,6/8/68
Richard Harris,MacArthur Park,2,1968,6/22/68
Friend and Lover,Reach Out of the Darkness,10,1968,6/22/68
People,I Love You,14,1968,6/22/68
Cliff Nobles and Co.,The Horse,2,1968,6/29/68
Merrilee Rush and the Turnabouts,Angel of the Morning,7,1968,6/29/68
Tiny Tim,Tip Toe Thru' The Tulips With Me,17,1968,6/29/68
Shorty Long,Here Comes the Judge,8,1968,7/6/68
Hugh Masekela,Grazing in the Grass,1,1968,7/20/68
Pigmeat Markham,Here Comes the Judge,19,1968,7/27/68
Mason Williams,Classical Gas,2,1968,8/3/68
Status Quo,Pictures of Matchstick Men,12,1968,8/3/68
The Amboy Dukes,Journey to the Center of the Mind,16,1968,8/24/68
Barbara Acklin,Love Makes a Woman,15,1968,8/31/68
Jeannie C. Riley,Harper Valley PTA,1,1968,9/21/68
The O'Kaysions,Girl Watcher,5,1968,10/5/68
Don Fardon,Indian Reservation,20,1968,10/5/68
Crazy World of Arthur Brown,Fire,2,1968,10/19/68
The Jimi Hendrix Experience,All Along the Watchtower,20,1968,10/19/68
Max Frost and the Troopers,Shape of Things to Come,22,1968,10/26/68
Iron Butterfly,In-A-Gadda-Da-Vida,30,1968,10/26/68
The Equals,"Baby, Come Back",32,1968,10/26/68
The Avant-Garde,Naturally Stoned,40,1968,10/26/68
Big Brother and the Holding Company,Piece of My Heart,12,1968,11/9/68
Bull & the Matadors,The Funky Judge,39,1968,11/16/68
Leapy Lee,Little Arrows,16,1968,12/7/68
Kasenetz-Katz Singing Orchestral Circus,Quick Joey Small (Run Joey Run),25,1968,12/7/68
The Magic Lanterns,"Shame, Shame",29,1968,12/21/68
Rene y Rene,Lo Mucho Que Te Quiero (The More I Love You),14,1969,1/4/69
Brooklyn Bridge,The Worst That Could Happen,3,1969,2/1/69
Spirit,I Got a Line on You,25,1969,3/15/69
The Arbors,The Letter,20,1969,4/5/69
Bubble Puppy,Hot Smoke and Sassafras,14,1969,4/12/69
Crazy Elephant,Gimme Gimme Good Lovin',12,1969,5/3/69
Peppermint Rainbow,Will You Be Staying After Sunday,32,1969,5/3/69
The Flirtations,Nothing but a Heartache,34,1969,5/24/69
Mercy,Love (Can Make You Happy),2,1969,5/31/69
The Neon Philharmonic,Morning Girl,17,1969,6/7/69
Spiral Starecase,More Today Than Yesterday,12,1969,6/14/69
Desmond Dekker and the Aces,Israelites,9,1969,6/28/69
"The Checkmates, LTD.",Black Pearl,13,1969,7/5/69
The Buchanan Brothers,Medicine Man,22,1969,7/5/69
Zager and Evans,In the Year 2525 (Exordium and Terminus),1,1969,7/12/69
The Winstons,Color Him Father,7,1969,7/19/69
Moms Mabley,"Abraham, Martin and John",35,1969,7/19/69
Joe Jeffrey Group,My Pledge of Love,14,1969,7/26/69
Charles Randolph Grean Sounde,Quentin's Theme,13,1969,8/2/69
Roy Clark,"Yesterday, When I Was Young",19,1969,8/2/69
Cat Mother & the All Night News Boys,Good Old Rock and Roll,21,1969,8/2/69
Johnny Adams,Reconsider Me,28,1969,8/2/69
Vik Venus,Moonflight,38,1969,8/9/69
Tony Joe White,Polk Salad Annie,8,1969,8/23/69
The Youngbloods,Get Together[142],5,1969,9/6/69
Underground Sunshine,Birthday,26,1969,9/6/69
The Illusion,Did You See Her Eyes,32,1969,9/6/69
Clarence Reid,Nobody But You Babe,40,1969,9/13/69
The Electric Indian,Keem-O-Sabe,16,1969,9/27/69
Motherlode,When I Die,18,1969,10/11/69
The Intrigues,In a Moment,31,1969,10/11/69
Clique,Sugar on Sunday,22,1969,10/18/69
The Cuff Links,Tracy,9,1969,10/25/69
The Rugbys,"You, I",24,1969,10/25/69
Wind,Make Believe,28,1969,10/25/69
Smith,Baby It's You,5,1969,11/1/69
Garland Green,Jealous Kind of Fella,20,1969,11/1/69
Lawrence Reynolds,Jesus Is a Soul Man,28,1969,11/1/69
Thunderclap Newman,Something in the Air,37,1969,11/1/69
Keith Barbour,Echo Park,40,1969,11/1/69
The Flying Machine,Smile a Little Smile for Me,5,1969,11/22/69
Steam,Na Na Hey Hey Kiss Him Goodbye,1,1969,12/6/69
Harlow Wilcox and the Oakies,Groovy Grubworm,30,1969,12/13/69
Crow,Evil Woman Don't Play Your Games With Me,19,1970,1/10/70
Shocking Blue,Venus,1,1970,2/7/70
Jefferson,Baby Take Me in Your Arms,23,1970,2/14/70
Original Caste,One Tin Soldier,34,1970,2/14/70
Eddie Holman,Hey There Lonely Girl,2,1970,2/21/70
The Street People,Jennifer Tomkins,36,1970,3/7/70
Tee Set,Ma Belle Amie,5,1970,3/14/70
The Jaggerz,The Rapper,2,1970,3/21/70
Edison Lighthouse,Love Grows (Where My Rosemary Goes),5,1970,3/28/70
Frijid Pink,The House of the Rising Sun,7,1970,4/4/70
Norman Greenbaum,Spirit in the Sky,3,1970,4/18/70
Michael Parks,Long Lonesome Highway,20,1970,4/18/70
Jack Blanchard & Misty Morgan,Tennessee Bird Walk,23,1970,4/25/70
Marmalade,Reflections of My Life,10,1970,5/9/70
Vincent Bell,Airport Love Theme (Gwen and Vern),31,1970,5/16/70
The Ides of March,Vehicle,2,1970,5/23/70
White Plains,My Baby Loves Lovin',13,1970,6/27/70
The Brotherhood of Man,United We Stand,13,1970,7/4/70
Blues Image,Ride Captain Ride,4,1970,7/11/70
Mountain,Mississippi Queen,21,1970,7/11/70
Five Stairsteps,O-o-h Child,8,1970,7/18/70
The Pipkins,Gimme Dat Ding,9,1970,7/18/70
Miguel Ríos,A Song of Joy (Himno a la Alegria),14,1970,7/18/70
John Phillips,Mississippi,32,1970,7/18/70
Crabby Appleton,Go Back,36,1970,7/18/70
Pacific Gas and Electric,Are You Ready?,14,1970,8/1/70
Alive N Kickin',"Tighter, Tighter",7,1970,8/8/70
Robin McNamara,Lay a Little Lovin' on Me,11,1970,8/22/70
The Neighborhood,Big Yellow Taxi,29,1970,8/22/70
The Lost Generation,"The Sly, Slick and the Wicked",30,1970,8/22/70
Assembled Multitude,Overture from Tommy (A Rock Opera),16,1970,8/29/70
Mungo Jerry,In the Summertime,3,1970,9/12/70
Ernie,Rubber Duckie,16,1970,9/26/70
Hotlegs,Neanderthal Man,22,1970,9/26/70
Michael Nesmith and the First National Band,Joanne,21,1970,10/3/70
Free,All Right Now,4,1970,10/17/70
Five Flights Up,Do What You Wanna Do,37,1970,10/17/70
Teegarden and Van Winkle,"God, Love and Rock and Roll",22,1970,10/31/70
R. Dean Taylor,Indiana Wants Me,5,1970,11/7/70
100 Proof (Aged in Soul),Somebody's Been Sleeping,8,1970,11/14/70
Mashmakhan,As the Years Go By,31,1970,11/21/70
Bobby Bloom,Montego Bay,8,1970,11/28/70
Christie,Yellow River,23,1970,11/28/70
The Presidents,5-10-15-20 (25-30 Years of Love),11,1970,12/26/70
Ray Price,For the Good Times,11,1971,1/2/71
Redeye,Games,27,1971,1/23/71
Runt,We Gotta Get You a Woman,20,1971,1/30/71
Lynn Anderson,(I Never Promised You a) Rose Garden,3,1971,2/13/71
Jackie Moore,"Precious, Precious",30,1971,2/13/71
Liz Damon's Orient Express,1900 Yesterday,33,1971,2/13/71
Wadsworth Mansion,Sweet Mary,7,1971,2/27/71
Francis Lai,Theme from Love Story,31,1971,3/6/71
Bloodrock,D.O.A.,36,1971,3/6/71
Janis Joplin,Me and Bobby McGee,1,1971,3/20/71
Sammi Smith,Help Me Make It Through the Night,8,1971,3/27/71
Brewer & Shipley,One Toke Over the Line,10,1971,4/10/71
C. Company,Battle Hymn of Lt. Calley,37,1971,5/1/71
Ocean,Put Your Hand in the Hand,2,1971,5/1/71
The Bells,Stay Awhile,7,1971,5/1/71
The Buoys,Timothy,17,1971,5/1/71
Daddy Dewdrop,Chick-a-Boom (Don't Ya Jes' Love It),9,1971,5/8/71
Richie Havens,Here Comes the Sun,16,1971,5/22/71
The Fuzz,I Love You for All Seasons,21,1971,5/22/71
Matthews Southern Comfort,Woodstock,23,1971,5/22/71
Tin Tin,Toast and Marmalade for Tea,20,1971,5/29/71
Paul Humphrey and the Cool Aid Chemists,Cool Aid,29,1971,6/12/71
The Beginning of the End,Funky Nassau - Part 1,15,1971,7/17/71
Chase,Get It On,24,1971,7/31/71
Sounds of Sunshine,Love Means (You Never Have to Say You're Sorry),39,1971,7/31/71
Cymarron,Rings,17,1971,8/7/71
Dave and Ansell Collins,Double Barrel,22,1971,8/7/71
"Ashton, Gardner and Dyke",Resurrection Shuffle,40,1971,8/7/71
Jean Knight,Mr. Big Stuff,2,1971,8/14/71
Tom Clay,"What the World Needs Now Is Love/Abraham, Martin and John",8,1971,8/14/71
The Undisputed Truth,Smiling Faces Sometimes,3,1971,9/4/71
The Nite-Liters,K-Jee,39,1971,9/11/71
Glass Bottle,I Ain't Got Time Anymore,36,1971,9/25/71
Paul Stookey,The Wedding Song (There Is Love),24,1971,10/16/71
Denise LaSalle,Trapped By a Thing Called Love,13,1971,10/30/71
Laura Lee,Women's Love Rights,36,1971,10/30/71
Free Movement,I've Found Someone of My Own,5,1971,11/13/71
Freddie Hart,Easy Loving,17,1971,11/20/71
Ten Years After,I'd Love to Change the World,40,1971,11/20/71
Coven,One Tin Soldier (The Legend of Billy Jack),26,1971,11/27/71
Freddie North,She's All I Got,39,1971,11/27/71
Les Crane,Desiderata,8,1971,12/4/71
Peter Nero,Theme from Summer of '42,21,1971,12/11/71
Sweathog,Hallelujah,33,1971,12/18/71
Mickey Newbury,An American Trilogy,26,1972,1/1/72
Jonathan Edwards,Sunshine,4,1972,1/15/72
The Hillside Singers,I'd Like to Teach the World to Sing (In Perfect Harmony),13,1972,1/15/72
Think,Once You Understand,23,1972,1/15/72
Bullet,"White Lies, Blue Eyes",28,1972,1/15/72
Charley Pride,Kiss an Angel Good Morning,21,1972,2/5/72
Apollo 100,Joy,6,1972,2/26/72
Climax,Precious and Few,3,1972,2/26/72
T. Rex,Bang a Gong (Get It On),10,1972,3/4/72
The English Congregation,Softly Whispering I Love You,29,1972,3/4/72
The Chakachas,Jungle Fever,8,1972,3/25/72
Brenda Lee Eager,Ain't Understanding Mellow,21,1972,3/25/72
JJ Cale,Crazy Mama,22,1972,4/8/72
Malo,Suavecito,18,1972,5/6/72
Jo Jo Gunne,Run Run Run,27,1972,5/6/72
Buffy Sainte-Marie,Mister Can't You See,38,1972,5/6/72
Commander Cody and His Lost Planet Airmen,Hot Rod Lincoln,9,1972,6/3/72
Crosby & Nash,Immigration Man,36,1972,6/17/72
Little Jimmy Osmond,Long Haired Lover from Liverpool,38,1972,6/17/72
Royal Scots Dragoon Guards,Amazing Grace,11,1972,7/1/72
Frederick Knight,I've Been Lonely for So Long,27,1972,7/8/72
Mouth & MacNeal,How Do You Do,8,1972,7/22/72
Cast of Godspell,Day By Day,13,1972,7/29/72
Derek and the Dominos,Layla,10,1972,8/5/72
Joey Heatherton,Gone,24,1972,8/12/72
Argent,Hold Your Head Up,5,1972,8/26/72
Sailcat,Motorcycle Mama,12,1972,8/26/72
Flash,Small Beginnings,29,1972,8/26/72
Daniel Boone,Beautiful Sunday,15,1972,9/16/72
Uriah Heep,Easy Livin',39,1972,9/23/72
Hot Butter,Popcorn,9,1972,10/21/72
Arlo Guthrie,The City of New Orleans,18,1972,10/28/72
"Emerson, Lake & Palmer",From the Beginning,39,1972,10/28/72
Danny O'Keefe,Good Time Charlie's Got the Blues,9,1972,11/4/72
Mott the Hoople,All the Young Dudes,37,1972,11/11/72
The Delegates,Convention '72,8,1972,11/18/72
Chi Coltrane,Thunder and Lightning,17,1972,11/18/72
Cashman and West,American City Suite,27,1972,11/18/72
Blue Haze,Smoke Gets in Your Eyes,27,1973,1/13/73
Brighter Side of Darkness,Love Jones,16,1973,2/3/73
Timmy Thomas,Why Can't We Live Together,3,1973,2/10/73
Hurricane Smith,"Oh, Babe, What Would You Say?",3,1973,2/17/73
Eric Weissberg and Steve Mandell,Dueling Banjos,2,1973,2/24/73
King Harvest,Dancin' in the Moonlight,13,1973,2/24/73
Joe Stampley,Soul Song,37,1973,3/10/73
Deodato,Also Sprach Zarathustra (2001),2,1973,3/31/73
Loudon Wainwright III,Dead Skunk,16,1973,3/31/73
Vicki Lawrence,The Night the Lights Went Out in Georgia,1,1973,4/7/73
Lou Reed,Walk on the Wild Side,16,1973,4/28/73
Jud Strunk,Daisy a Day,14,1973,5/19/73
Skylark,Wildflower,9,1973,5/26/73
First Choice,Armed and Extremely Dangerous,28,1973,5/26/73
John & Ernest,Superfly Meets Shaft,31,1973,5/26/73
Focus,Hocus Pocus,9,1973,6/2/73
The Independents,Leaving Me,21,1973,6/2/73
Barbara Fairchild,The Teddy Bear Song,32,1973,6/2/73
Gunhill Road,Back When My Hair Was Short,40,1973,6/2/73
Sylvia,Pillow Talk,3,1973,6/9/73
Clint Holmes,Playground in My Mind,2,1973,6/16/73
New York City,I'm Doin' Fine Now,17,1973,6/23/73
Dr. John,Right Place Wrong Time,9,1973,6/30/73
Fred Wesley and the J.B.'s,Doing It to Death,22,1973,7/14/73
Jeanne Pruett,Satin Sheets,28,1973,7/14/73
Foster Sylvers,Misdemeanor,22,1973,7/28/73
Manu Dibango,Soul Makossa,35,1973,7/28/73
Stories,Brother Louie,1,1973,8/25/73
B. W. Stevenson,My Maria,9,1973,9/29/73
Cross Country,In the Midnight Hour,30,1973,10/13/73
Ann Peebles,I Can't Stand the Rain,38,1973,12/22/73
Ian Thomas,Painted Ladies,34,1974,1/12/74
Merle Haggard,If We Make It Through December,28,1974,1/19/74
Byron MacGregor,Americans[J3],4,1974,2/9/74
Gordon Sinclair,Americans (A Canadian's Opinion)[J3],24,1974,2/9/74
Black Oak Arkansas,Jim Dandy,25,1974,2/16/74
Natural Four,Can This Be Real,31,1974,2/16/74
Gregg Allman,Midnight Rider,19,1974,2/23/74
Terry Jacks,Seasons in the Sun,1,1974,3/2/74
Tom T. Hall,I Love,12,1974,3/2/74
Wednesday,Last Kiss,34,1974,3/2/74
David Essex,Rock On,5,1974,3/9/74
Mocedades,Eres Tu (Touch the Wind),9,1974,3/23/74
Cliff DeYoung,My Sweet Lady,17,1974,3/23/74
Rick Derringer,"Rock and Roll, Hoochie Koo",23,1974,3/23/74
The Soul Children,I'll Be the Other Woman,36,1974,3/30/74
Sister Janet Mead,The Lord's Prayer,4,1974,4/13/74
MFSB,TSOP (The Sound of Philadelphia),1,1974,4/20/74
Sami Jo,Tell Me a Lie,21,1974,4/20/74
Mike Oldfield,Tubular Bells,7,1974,5/11/74
Marvin Hamlisch,The Entertainer,3,1974,5/18/74
Melba Montgomery,No Charge,39,1974,6/8/74
William DeVaughn,Be Thankful for What You Got,4,1974,6/29/74
Gene Redding,This Heart,24,1974,7/20/74
Dave Loggins,Please Come to Boston,5,1974,8/10/74
Paper Lace,The Night Chicago Died,1,1974,8/17/74
The Rubettes,Sugar Baby Love,37,1974,8/31/74
Marilyn Sellars,One Day at a Time,37,1974,9/28/74
The First Class,Beach Baby,4,1974,10/5/74
Johnny Bristol,Hang on in There Baby,8,1974,10/5/74
"Souther, Hillman, Furay Band",Fallin' in Love,27,1974,10/5/74
Reunion,Life Is a Rock (But the Radio Rolled Me),8,1974,11/16/74
Billy Swan,I Can Help,1,1974,11/23/74
Jim Weatherly,The Need to Be,11,1974,11/23/74
Prelude,After the Goldrush,22,1974,11/30/74
Carl Douglas,Kung Fu Fighting,1,1974,12/7/74
Shirley Brown,Woman to Woman,22,1974,12/7/74
Carol Douglas,Doctor's Orders,11,1975,2/8/75
Polly Brown,Up in a Puff of Smoke,16,1975,3/15/75
Sweet Sensation,Sad Sweet Dreamer,14,1975,3/22/75
Shirley & Company,"Shame, Shame, Shame",12,1975,3/29/75
Minnie Riperton,Lovin' You,1,1975,4/5/75
Benny Bell,Shaving Cream,30,1975,4/26/75
Sammy Johns,Chevy Van,5,1975,5/3/75
Kraftwerk,Autobahn,25,1975,5/3/75
Ace,How Long?,3,1975,5/31/75
Boomer Castleman,Judy Mae,33,1975,6/14/75
Tanya Tucker,Lizzie and the Rainman,37,1975,6/14/75
Jessi Colter,I'm Not Lisa,4,1975,6/21/75
Major Harris,Love Won't Let Me Wait,5,1975,6/21/75
Roger Whittaker,The Last Farewell,19,1975,6/21/75
Pilot,Magic,5,1975,7/12/75
Van McCoy,The Hustle,1,1975,7/26/75
Gwen McCrae,Rockin' Chair,9,1975,8/2/75
Tony Camillo's Bazuka,Dynomite–Part 1,10,1975,8/2/75
Travis Wammack,(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,38,1975,8/16/75
Amazing Rhythm Aces,Third Rate Romance,14,1975,9/13/75
Johnny Wakelin and the Kinshasa Band,Black Superman–'Muhammad Ali',21,1975,9/13/75
Graham Central Station,Your Love,38,1975,9/20/75
Morris Albert,Feelings,6,1975,10/25/75
Pete Wingfield,Eighteen with a Bullet,15,1975,11/29/75
Leon Haywood,I Wanta Do Something Freaky to You,15,1975,12/13/75
5000 Volts,I'm on Fire,26,1975,12/13/75
The Road Apples,Let's Live Together,35,1976,1/10/76
Wing and a Prayer Fife and Drum Corps,Baby Face,14,1976,3/6/76
Nazareth,Love Hurts,8,1976,3/13/76
Cledus Maggard & the Citizen's Band,The White Knight,19,1976,3/13/76
Larry Groce,Junk Food Junkie,9,1976,3/20/76
Roxy Music,Love Is the Drug,30,1976,3/20/76
Larry Santos,We Can't Hide it Anymore,36,1976,4/10/76
John Sebastian,Welcome Back,1,1976,5/8/76
Elvin Bishop,Fooled Around and Fell in Love,3,1976,5/22/76
Cate Bros.,Union Man,24,1976,5/22/76
Pratt & McClain,Happy Days,5,1976,6/5/76
Brass Construction,Movin',14,1976,6/26/76
Cyndi Grecco,Making Our Dreams Come True,25,1976,7/3/76
Starland Vocal Band,Afternoon Delight,1,1976,7/10/76
Brotherhood of Man,Save Your Kisses for Me,27,1976,7/10/76
Thin Lizzy,The Boys Are Back in Town,12,1976,7/24/76
Starbuck,Moonlight Feels Right,3,1976,7/24/76
Keith Carradine,I'm Easy,17,1976,8/7/76
Vicki Sue Robinson,Turn the Beat Around,10,1976,8/14/76
Red Sovine,Teddy Bear,40,1976,8/28/76
Wild Cherry,Play That Funky Music,1,1976,9/18/76
Lady Flash,Street Singin',27,1976,9/18/76
Silver,Wham Bam,16,1976,10/2/76
Walter Murphy and the Big Apple Band,A Fifth of Beethoven,1,1976,10/9/76
Rick Dees and His Cast of Idiots,Disco Duck (Part 1),1,1976,10/16/76
Flash Cadillac & the Continental Kids,Did You Boogie (With Your Baby),29,1976,10/23/76
Norman Connors,You Are My Starship,27,1976,11/6/76
John Valenti,Anything You Want,37,1976,11/6/76
"Barry DeVorzon and Perry Botkin, Jr.",Nadia's Theme (The Young and The Restless),8,1976,12/11/76
David Dundas,Jeans On,17,1977,1/29/77
Dr. Buzzard's Original Savannah Band,Whispering/Cherchez La Femme/Se Si Bon,27,1977,1/29/77
Henhouse Five Plus Too,In the Mood,40,1977,2/5/77
Smokie,Living Next Door to Alice,25,1977,2/26/77
Silvetti,Spring Rain,39,1977,3/19/77
Wilton Place Street Band,Disco Lucy (I Love Lucy Theme),24,1977,4/9/77
Cerrone,Love in C Minor,36,1977,4/9/77
David Soul,Don't Give Up on Us,1,1977,4/16/77
William Bell,Tryin' to Love Two,10,1977,4/30/77
Facts of Life,Sometimes,31,1977,4/30/77
Stallion,Old Fashioned Boy (You're the One),37,1977,4/30/77
Starz,Cherry Baby,33,1977,5/7/77
Q,Dancin' Man,23,1977,5/14/77
John Miles,Slow Down,34,1977,6/11/77
Dean Friedman,Ariel,26,1977,6/25/77
Maynard Ferguson,Gonna Fly Now (Theme from Rocky),28,1977,6/25/77
Bill Conti,Gonna Fly Now (Theme from Rocky),1,1977,7/2/77
Alan O'Day,Undercover Angel,1,1977,7/9/77
Hot,Angel in Your Arms,6,1977,7/16/77
C.J. and Co.,Devil's Gun,36,1977,7/16/77
Peter McCann,Do You Wanna Make Love,5,1977,8/6/77
Mac McAnally,It's a Crazy World,37,1977,8/13/77
Meri Wilson,Telephone Man,18,1977,8/20/77
Slave,Slide,32,1977,8/20/77
Ram Jam,Black Betty,18,1977,9/3/77
The Floaters,Float On,2,1977,9/17/77
Sanford/Townsend Band,Smoke from a Distant Fire,9,1977,9/17/77
Ted Nugent,Cat Scratch Fever,30,1977,10/8/77
Debby Boone,You Light Up My Life,1,1977,10/15/77
Ronnie McDowell,The King Is Gone,13,1977,10/22/77
Paul Nicholas,Heaven On The 7th Floor,6,1977,11/26/77
High Inergy,You Can't Turn Me Off (In the Middle of Turning Me On),12,1977,12/24/77
Randy Newman,Short People,2,1978,1/28/78
Santa Esmeralda,Don't Let Me Be Misunderstood,15,1978,2/18/78
Odyssey,Native New Yorker,21,1978,2/18/78
Samantha Sang,Emotion,3,1978,3/18/78
LeBlanc and Carr,Falling,13,1978,4/1/78
Stargard,Theme Song from Which Way Is Up,21,1978,4/1/78
Rubicon,I'm Gonna Take Care of Everything,28,1978,4/22/78
Warren Zevon,Werewolves of London,21,1978,5/13/78
Michael Zager Band,Let's All Chant,36,1978,5/20/78
Celebration,Almost Summer,28,1978,6/24/78
Patti Smith Group,Because the Night,13,1978,6/24/78
"Jimmy ""Bo"" Horne",Dance Across the Floor,38,1978,6/24/78
Tuxedo Junction,Chattanooga Choo Choo,32,1978,7/1/78
Eruption,I Can't Stand the Rain,18,1978,7/8/78
