Artist,Track,Peak Position,Year,Peak Date
Margie Rayburn,I'm Available,9,1957,12/16/57
Ernie Freeman,Raunchy,4,1957,12/30/57
The Hollywood Flames,Buzz-Buzz-Buzz,11,1958,1/27/58
Nick Todd,At the Hop,21,1958,2/10/58
Moe Koffman Quartette,The Swingin' Shepherd Blues,36,1958,2/10/58
The Silhouettes,Get a Job,1,1958,2/24/58
Dale Wright with the Rock-Its,She's Neat,38,1958,2/24/58
The Crescendos,Oh Julie,5,1958,3/3/58
Sammy Salvo,Oh Julie,23 (J),1958,3/3/58
The Gone All Stars,42196,30,1958,3/3/58
Robert & Johnny,We Belong Together,32,1958,3/3/58
Gene Allison,You Can Make It If You Try,36,1958,3/10/58
The Pastels,Been So Long,24,1958,3/10/58
Eddie Platt,Tequila,20,1958,3/31/58
"John Zacherle ""The Cool Ghoul""",Dinner with Drac–Part 1,6,1958,3/31/58
Laurie London,He's Got the Whole World in His Hands,1,1958,4/14/58
Ronald & Ruby,Lollipop,20,1958,4/14/58
"Huey ""Piano"" Smith and the Clowns",Don't You Just Know It,9,1958,4/14/58
The Monotones,Book of Love,5,1958,4/21/58
Art and Dotty Todd,Chanson D'Amour (Song of Love),6,1958,5/5/58
The Voxpoppers,Wishing for Your Love,18,1958,5/5/58
The Aquatones,You,21,1958,5/26/58
Renato Carosone,Torero,18,1958,6/2/58
Toni Arden,Padre,18,1958,6/2/58
Sheb Wooley,Purple People Eater,1,1958,6/9/58
Ed Townsend,For Your Love,13,1958,6/9/58
Valerie Carr,When the Boys Talk About the Girls,19,1958,6/9/58
The Pets,Cha-Hua-Hua,34,1958,6/9/58
Gino and Gina,(It's Been a Long Time) Pretty Baby,20,1958,6/23/58
Jan and Arnie,Jennie Lee,8,1958,6/30/58
Jody Reynolds,Endless Sleep,5,1958,6/30/58
The Daddy O's,Got a Match?,39,1958,7/7/58
Jim Backus and Friend,Delicious,40,1958,7/21/58
The Danleers,One Summer Night,7,1958,7/28/58
Frankie Vaughan,Judy,22,1958,7/28/58
Kirby Stone Four,"Baubles, Bangles and Beads",25,1958,7/28/58
Johnny Otis Show ,Willie and the Hand Jive,9,1958,8/4/58
Tony and Joe,The Freeze,33,1958,8/4/58
Bobby Hamilton,Crazy Eyes for You,40,1958,8/4/58
The Rinky Dinks,Early in the Morning,24,1958,8/11/58
Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),1,1958,8/18/58
The Elegants,Little Star,1,1958,8/25/58
The Poni-Tails,Born Too Late,7,1958,9/15/58
The Quin-Tones,Down the Aisle of Love,18,1958,9/15/58
The Tommy Dorsey Orchestra,Tea for Two Cha Cha,7,1958,9/15/58
The Jamies,"Summertime, Summertime",26,1958,9/22/58
The Kingsmen,Weekend,35,1958,9/22/58
